module,dataset,seed,complete,error,result_count,ckpt_count,best_result_path,best_result_size,best_ckpt_path,best_ckpt_size
dapg3,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg3_kradar_car/fair_dapg3_kradar_seed2035_gpu0_fixed/eval/epoch_160/val/default/result.pkl,78150,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg3_kradar_car/fair_dapg3_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58121789
dapg3,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg3_kradar_car/fair_dapg3_kradar_seed2035_gpu0_fixed/eval/epoch_160/val/default/result.pkl,78150,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg3_kradar_car/fair_dapg3_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58121789
four_modules,kradar,2036,False,False,5,3,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_kradar_car/fair_stable_four_modules_kradar_seed5623_gpu1_fixed/eval/epoch_160/val/default/result.pkl,33424,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_kradar_car/fair_stable_four_modules_kradar_seed5623/ckpt/checkpoint_epoch_160.pth,59205655
four_modules,kradar,3407,False,False,5,3,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_kradar_car/fair_stable_four_modules_kradar_seed5623_gpu1_fixed/eval/epoch_160/val/default/result.pkl,33424,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_kradar_car/fair_stable_four_modules_kradar_seed5623/ckpt/checkpoint_epoch_160.pth,59205655
iouaware,astyx,5623,False,False,5,4,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_iouaware_astyx_car/fair_iouaware_astyx_seed5623/eval/eval_with_train/epoch_160/val/result.pkl,7847657,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_iouaware_truckscenes_car/fair_iouaware_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth,58069628
iouaware_radarreplay,kradar,2028,False,False,0,0,,,,
iouaware_radarreplay,v2xradarv,2028,False,False,0,0,,,,
iouaware,truckscenes,5623,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_iouaware_truckscenes_car/fair_iouaware_truckscenes_seed5623_gpu0_fixed/eval/epoch_160/val/default/result.pkl,4037954,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_iouaware_truckscenes_car/fair_iouaware_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth,58069628
iouaware,truckscenes,5623,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_iouaware_truckscenes_car/fair_iouaware_truckscenes_seed5623_gpu0_fixed/eval/epoch_160/val/default/result.pkl,4037954,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_iouaware_truckscenes_car/fair_iouaware_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth,58069628
msbc2,astyx,2035,False,False,5,4,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_astyx_car/fair_msbc2_astyx_seed2035/eval/eval_with_train/epoch_160/val/result.pkl,190426,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_truckscenes_car/fair_msbc2_truckscenes_seed2035/ckpt/checkpoint_epoch_160.pth,58670978
msbc2,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_kradar_car/fair_msbc2_kradar_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,74162,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_kradar_car/fair_msbc2_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58670978
msbc2,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_kradar_car/fair_msbc2_kradar_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,74162,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_kradar_car/fair_msbc2_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58670978
msbc2,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_kradar_car/fair_msbc2_kradar_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,74162,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_kradar_car/fair_msbc2_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58670978
range2,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range2_kradar_car/fair_range2_kradar_seed2035_gpu0_fixed/eval/epoch_160/val/default/result.pkl,76244,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range2_kradar_car/fair_range2_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58044479
range2,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range2_kradar_car/fair_range2_kradar_seed2035_gpu0_fixed/eval/epoch_160/val/default/result.pkl,76244,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range2_kradar_car/fair_range2_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58044479
range3,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range3_kradar_car/fair_range3_kradar_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,76244,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range3_kradar_car/fair_range3_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58044479
range3,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range3_kradar_car/fair_range3_kradar_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,76244,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range3_kradar_car/fair_range3_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58044479
range3,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range3_kradar_car/fair_range3_kradar_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,76244,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_range3_kradar_car/fair_range3_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58044479
rccg,astyx,2026,False,False,9,4,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_q55rccg_astyx_car/eval_rcnms_q55rccg_astyx_seed2028/eval/epoch_160/val/default/result.pkl,7847657,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_q55rccg_astyx_car/screen_q55rccg_astyx_seed2028/ckpt/checkpoint_epoch_160.pth,58711801
rccg,kradar,2028,False,False,0,0,,,,
rccg,truckscenes,2026,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_rccg_truckscenes_car/fair_rccg_truckscenes_seed2028_gpu1_fixed/eval/epoch_160/val/default/result.pkl,141214,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_rccg_truckscenes_car/fair_rccg_truckscenes_seed2028/ckpt/checkpoint_epoch_160.pth,58711301
rccg,v2xradarv,2026,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_rccg_v2xradarv_car/fair_rccg_v2xradarv_seed2028/eval/eval_with_train/epoch_160/val/result.pkl,97228,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_rccg_v2xradarv_car/fair_rccg_v2xradarv_seed2028/ckpt/checkpoint_epoch_160.pth,58711301
rpa45,truckscenes,2028,False,False,0,0,,,,
rpa50,truckscenes,2028,False,False,12,4,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_q55rpa50_nms040_truckscenes_car/screen_q55rpa50_nms040_truckscenes_seed2028/eval/eval_with_train/epoch_160/val/result.pkl,4037954,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_q55rpa50_score005_truckscenes_car/screen_q55rpa50_score005_truckscenes_seed2028/ckpt/checkpoint_epoch_160.pth,58040692
rpa55,truckscenes,2028,False,False,0,0,,,,
sbd10,kradar,2028,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd10_kradar_car/fair_sbd10_kradar_seed2035/eval/eval_with_train/epoch_160/val/result.pkl,72341,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd10_kradar_car/fair_sbd10_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58040747
sbd10,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd10_kradar_car/fair_sbd10_kradar_seed2035/eval/eval_with_train/epoch_160/val/result.pkl,72341,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd10_kradar_car/fair_sbd10_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58040747
sbd10,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd10_kradar_car/fair_sbd10_kradar_seed2035/eval/eval_with_train/epoch_160/val/result.pkl,72341,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd10_kradar_car/fair_sbd10_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58040747
sbd10,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd10_kradar_car/fair_sbd10_kradar_seed2035/eval/eval_with_train/epoch_160/val/result.pkl,72341,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd10_kradar_car/fair_sbd10_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58040747
sbd20,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd20_kradar_car/fair_sbd20_kradar_seed2035_gpu0_fixed/eval/epoch_160/val/default/result.pkl,80868,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_sbd20_kradar_car/fair_sbd20_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58040747
stable_bevgate_dapg,astyx,5623,False,False,14,7,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_astyx_car/fair_stable_bevgate_dapg_astyx_seed5623/eval/eval_with_train/epoch_160/val/result.pkl,185869,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth,59201868
stable_bevgate_dapg,kradar,5623,False,False,3,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_kradar_car/fair_stable_bevgate_dapg_kradar_seed5623_gpu0_fixed/eval/epoch_160/val/default/result.pkl,73838,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_kradar_car/fair_stable_bevgate_dapg_kradar_seed5623/ckpt/checkpoint_epoch_160.pth,58571582
stable_bevgate_dapg_msbc,astyx,2029,False,False,5,3,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed2029/eval/epoch_160/val/default/result.pkl,4037954,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed2029/ckpt/checkpoint_epoch_160.pth,59201868
stable_bevgate_dapg_msbc,astyx,5623,False,False,6,3,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_astyx_car/fair_stable_bevgate_dapg_msbc_astyx_seed5623_gpu0_fixed/eval/epoch_160/val/default/result.pkl,181486,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth,59201868
stable_bevgate_dapg_msbc,astyx,5623,False,False,6,3,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_astyx_car/fair_stable_bevgate_dapg_msbc_astyx_seed5623_gpu0_fixed/eval/epoch_160/val/default/result.pkl,181486,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth,59201868
stable_bevgate_dapg_msbc,truckscenes,2029,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed2029/eval/epoch_160/val/default/result.pkl,4037954,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed2029/ckpt/checkpoint_epoch_160.pth,59201868
stable_bevgate_dapg_msbc,v2xradarv,5623,False,False,3,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_v2xradarv_car/fair_stable_bevgate_dapg_msbc_v2xradarv_seed5623/eval/eval_with_train/epoch_160/val/result.pkl,94510,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_v2xradarv_car/fair_stable_bevgate_dapg_msbc_v2xradarv_seed5623/ckpt/checkpoint_epoch_160.pth,59201868
stable_bevgate_dapg,truckscenes,5623,False,False,3,2,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_truckscenes_car/fair_stable_bevgate_dapg_truckscenes_seed5623/eval/eval_with_train/epoch_160/val/result.pkl,156098,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth,59201868
stable_bevgate_dapg,v2xradarv,5623,False,False,5,2,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_v2xradarv_car/fair_stable_bevgate_dapg_v2xradarv_seed5623_gpu1_fixed/eval/epoch_160/val/default/result.pkl,95840,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_v2xradarv_car/fair_stable_bevgate_dapg_msbc_v2xradarv_seed5623/ckpt/checkpoint_epoch_160.pth,59201868
stable_four_modules,astyx,5623,False,False,7,4,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_astyx_car/fair_stable_four_modules_astyx_seed5623/eval/eval_with_train/epoch_160/val/result.pkl,183655,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_truckscenes_car/fair_stable_four_modules_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth,59205655
stable_four_modules,kradar,5623,False,False,3,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_kradar_car/fair_stable_four_modules_kradar_seed5623_gpu1_fixed/eval/epoch_160/val/default/result.pkl,33424,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_kradar_car/fair_stable_four_modules_kradar_seed5623/ckpt/checkpoint_epoch_160.pth,59205655
